2021-10-31 20:56:12   INFO       client.py                 сформировано сообщение {'action': 'presence', 'time': 1635702972.0183287, 'user': {'account': 'Guest'}}
2021-10-31 20:56:12   DEBUG      decorators.py             Вызвана функция send_message из модуля common.utils с параметрами (<socket.socket fd=384, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 63703), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1635702972.0183287, 'user': {'account': 'Guest'}}), {}. Вызов произведен из функции main()Вызов из функции main.
2021-10-31 20:56:12   INFO       client.py                 Сообщение отправлено серверу
2021-10-31 20:56:12   DEBUG      decorators.py             Вызвана функция receive_message из модуля common.utils с параметрами (<socket.socket fd=384, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 63703), raddr=('127.0.0.1', 7777)>,), {}. Вызов произведен из функции main()Вызов из функции main.
2021-10-31 20:56:12   DEBUG      decorators.py             Вызвана функция process_server_response из модуля __main__ с параметрами ({'response': '200'},), {}. Вызов произведен из функции main()Вызов из функции main.
2021-10-31 20:56:12   INFO       client.py                 Принят ответ от сервера response 200: OK
2021-10-31 20:58:36   DEBUG      decorators.py             Вызвана функция parameters_check из модуля common.utils с параметрами (['D:/GeekBrains/Клиент-серверные приложения/Project/client.py', '-p', '7777'],), {}. Вызов произведен из функции main(). Вызов из функции main.
2021-10-31 20:58:36   INFO       client.py                 Установлено соединение с сервером по адресу 127.0.0.1 через порт 7777
2021-10-31 20:59:07   DEBUG      decorators.py             Вызвана функция parameters_check из модуля common.utils с параметрами (['D:/GeekBrains/Клиент-серверные приложения/Project/client.py', '-p', '7777'],), {}. Вызов произведен из функции main(). Вызов из функции main.
2021-10-31 20:59:07   INFO       client.py                 Установлено соединение с сервером по адресу 127.0.0.1 через порт 7777
2021-10-31 20:59:18   DEBUG      decorators.py             Вызвана функция parameters_check из модуля common.utils с параметрами (['D:/GeekBrains/Клиент-серверные приложения/Project/client.py', '-p', '7777'],), {}. Вызов произведен из функции main(). Вызов из функции main.
2021-10-31 20:59:18   INFO       client.py                 Установлено соединение с сервером по адресу 127.0.0.1 через порт 7777
2021-10-31 21:00:06   DEBUG      decorators.py             Вызвана функция create_message из модуля __main__ с параметрами (), {}. Вызов произведен из функции main(). Вызов из функции main.
2021-10-31 21:00:06   INFO       client.py                 сформировано сообщение {'action': 'presence', 'time': 1635703206.9766123, 'user': {'account': 'Guest'}}
2021-10-31 21:00:06   DEBUG      decorators.py             Вызвана функция send_message из модуля common.utils с параметрами (<socket.socket fd=356, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 64495), raddr=('127.0.0.1', 7777)>, {'action': 'presence', 'time': 1635703206.9766123, 'user': {'account': 'Guest'}}), {}. Вызов произведен из функции main(). Вызов из функции main.
2021-10-31 21:00:06   INFO       client.py                 Сообщение отправлено серверу
2021-10-31 21:00:07   DEBUG      decorators.py             Вызвана функция receive_message из модуля common.utils с параметрами (<socket.socket fd=356, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 64495), raddr=('127.0.0.1', 7777)>,), {}. Вызов произведен из функции main(). Вызов из функции main.
2021-10-31 21:00:07   DEBUG      decorators.py             Вызвана функция process_server_response из модуля __main__ с параметрами ({'response': '200'},), {}. Вызов произведен из функции main(). Вызов из функции main.
2021-10-31 21:00:07   INFO       client.py                 Принят ответ от сервера response 200: OK
2021-10-31 21:00:23   DEBUG      decorators.py             Вызвана функция parameters_check из модуля common.utils с параметрами (['D:/GeekBrains/Клиент-серверные приложения/Project/client.py', '-p', '7777'],), {}. Вызов произведен из функции main(). Вызов из функции main.
